Date,hour,screening_hall,screening_mode,free,sold
29.04.2019, 12:00 ,Αίθουσα 3,2d,258,25
29.04.2019, 13:00 ,Αίθουσα 7,2d,229,12
29.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,256,53
29.04.2019, 15:00 ,Αίθουσα 2,2d,256,26
29.04.2019, 16:00 ,Αίθουσα 3,2d,274,9
29.04.2019, 17:00 ,Αίθουσα 7,2d,209,32
29.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,145,164
29.04.2019, 19:00 ,Αίθουσα 2,2d,181,101
29.04.2019, 20:00 ,Αίθουσα 3,2d,234,49
29.04.2019, 20:45 ,Αίθουσα 7,2d,190,51
29.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,138,171
29.04.2019, 22:00 ,Αίθουσα 6,2d,181,17
29.04.2019, 22:30 ,Αίθουσα 2,2d,257,25
29.04.2019, 23:00 ,Αίθουσα 4,2d,177,8
29.04.2019, 23:30 ,Αίθουσα 3,2d,259,24
30.04.2019, 12:00 ,Αίθουσα 3,2d,262,21
30.04.2019, 13:00 ,Αίθουσα 7,2d,239,2
30.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,259,50
30.04.2019, 15:00 ,Αίθουσα 2,2d,266,16
30.04.2019, 16:00 ,Αίθουσα 3,2d,268,15
30.04.2019, 17:00 ,Αίθουσα 7,2d,201,40
30.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,162,147
30.04.2019, 19:00 ,Αίθουσα 2,2d,186,96
30.04.2019, 20:00 ,Αίθουσα 3,2d,184,99
30.04.2019, 20:45 ,Αίθουσα 7,2d,144,97
30.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,107,202
30.04.2019, 22:00 ,Αίθουσα 6,2d,149,49
30.04.2019, 22:30 ,Αίθουσα 2,2d,231,51
30.04.2019, 23:00 ,Αίθουσα 4,2d,169,16
30.04.2019, 23:30 ,Αίθουσα 3,2d,269,14
01.05.2019, 12:00 ,Αίθουσα 3,2d,280,3
01.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
01.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,301,8
01.05.2019, 15:00 ,Αίθουσα 2,2d,280,2
01.05.2019, 16:00 ,Αίθουσα 3,2d,283,0
01.05.2019, 17:00 ,Αίθουσα 7,2d,230,11
01.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,264,45
01.05.2019, 19:00 ,Αίθουσα 2,2d,275,7
01.05.2019, 20:00 ,Αίθουσα 3,2d,271,12
01.05.2019, 20:45 ,Αίθουσα 7,2d,239,2
01.05.2019, 21:30 ,Αίθουσα 1,IMAX 3D,250,59
01.05.2019, 22:00 ,Αίθουσα 6,2d,196,2
01.05.2019, 22:30 ,Αίθουσα 2,2d,266,16
01.05.2019, 23:00 ,Αίθουσα 4,2d,183,2
01.05.2019, 23:30 ,Αίθουσα 3,2d,279,4
