Date,hour,screening_hall,screening_mode,free,sold
28.04.2019, 20:45 ,Αίθουσα 7,2d,91,150
28.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,79,230
28.04.2019, 22:00 ,Αίθουσα 6,2d,132,66
28.04.2019, 22:30 ,Αίθουσα 2,2d,255,27
28.04.2019, 23:00 ,Αίθουσα 4,2d,183,2
28.04.2019, 23:30 ,Αίθουσα 3,2d,268,15
29.04.2019, 12:00 ,Αίθουσα 3,2d,281,2
29.04.2019, 13:00 ,Αίθουσα 7,2d,237,4
29.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,271,38
29.04.2019, 15:00 ,Αίθουσα 2,2d,263,19
29.04.2019, 16:00 ,Αίθουσα 3,2d,278,5
29.04.2019, 17:00 ,Αίθουσα 7,2d,222,19
29.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,185,124
29.04.2019, 19:00 ,Αίθουσα 2,2d,201,81
29.04.2019, 20:00 ,Αίθουσα 3,2d,243,40
29.04.2019, 20:45 ,Αίθουσα 7,2d,195,46
29.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,153,156
29.04.2019, 22:00 ,Αίθουσα 6,2d,185,13
29.04.2019, 22:30 ,Αίθουσα 2,2d,257,25
29.04.2019, 23:00 ,Αίθουσα 4,2d,177,8
29.04.2019, 23:30 ,Αίθουσα 3,2d,262,21
30.04.2019, 12:00 ,Αίθουσα 3,2d,262,21
30.04.2019, 13:00 ,Αίθουσα 7,2d,241,0
30.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,266,43
30.04.2019, 15:00 ,Αίθουσα 2,2d,267,15
30.04.2019, 16:00 ,Αίθουσα 3,2d,273,10
30.04.2019, 17:00 ,Αίθουσα 7,2d,213,28
30.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,164,145
30.04.2019, 19:00 ,Αίθουσα 2,2d,188,94
30.04.2019, 20:00 ,Αίθουσα 3,2d,202,81
30.04.2019, 20:45 ,Αίθουσα 7,2d,161,80
30.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,108,201
30.04.2019, 22:00 ,Αίθουσα 6,2d,154,44
30.04.2019, 22:30 ,Αίθουσα 2,2d,235,47
30.04.2019, 23:00 ,Αίθουσα 4,2d,175,10
30.04.2019, 23:30 ,Αίθουσα 3,2d,272,11
01.05.2019, 12:00 ,Αίθουσα 3,2d,280,3
01.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
01.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,301,8
01.05.2019, 15:00 ,Αίθουσα 2,2d,282,0
01.05.2019, 16:00 ,Αίθουσα 3,2d,283,0
01.05.2019, 17:00 ,Αίθουσα 7,2d,234,7
01.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,269,40
01.05.2019, 19:00 ,Αίθουσα 2,2d,275,7
01.05.2019, 20:00 ,Αίθουσα 3,2d,273,10
01.05.2019, 20:45 ,Αίθουσα 7,2d,239,2
01.05.2019, 21:30 ,Αίθουσα 1,IMAX 3D,252,57
01.05.2019, 22:00 ,Αίθουσα 6,2d,196,2
01.05.2019, 22:30 ,Αίθουσα 2,2d,266,16
01.05.2019, 23:00 ,Αίθουσα 4,2d,183,2
01.05.2019, 23:30 ,Αίθουσα 3,2d,279,4
