Date,hour,screening_hall,screening_mode,free,sold
30.04.2019, 12:00 ,Αίθουσα 3,2d,252,31
30.04.2019, 13:00 ,Αίθουσα 7,2d,235,6
30.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,235,74
30.04.2019, 15:00 ,Αίθουσα 2,2d,255,27
30.04.2019, 16:00 ,Αίθουσα 3,2d,245,38
30.04.2019, 17:00 ,Αίθουσα 7,2d,161,80
30.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,109,200
30.04.2019, 19:00 ,Αίθουσα 2,2d,122,160
30.04.2019, 20:00 ,Αίθουσα 3,2d,135,148
30.04.2019, 20:45 ,Αίθουσα 7,2d,100,141
30.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,80,229
30.04.2019, 22:00 ,Αίθουσα 6,2d,94,104
30.04.2019, 22:30 ,Αίθουσα 2,2d,191,91
30.04.2019, 23:00 ,Αίθουσα 4,2d,152,33
30.04.2019, 23:30 ,Αίθουσα 3,2d,264,19
01.05.2019, 12:00 ,Αίθουσα 3,2d,277,6
01.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
01.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,296,13
01.05.2019, 15:00 ,Αίθουσα 2,2d,276,6
01.05.2019, 16:00 ,Αίθουσα 3,2d,281,2
01.05.2019, 17:00 ,Αίθουσα 7,2d,223,18
01.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,249,60
01.05.2019, 19:00 ,Αίθουσα 2,2d,268,14
01.05.2019, 20:00 ,Αίθουσα 3,2d,265,18
01.05.2019, 20:45 ,Αίθουσα 7,2d,237,4
01.05.2019, 21:30 ,Αίθουσα 1,IMAX 3D,238,71
01.05.2019, 22:00 ,Αίθουσα 6,2d,195,3
01.05.2019, 22:30 ,Αίθουσα 2,2d,270,12
01.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
01.05.2019, 23:30 ,Αίθουσα 3,2d,279,4
