Date,hour,screening_hall,screening_mode,free,sold
11.05.2019, 22:45 ,Αίθουσα 2,2d,270,12
12.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,309,0
12.05.2019, 16:00 ,Αίθουσα 7,2d,241,0
12.05.2019, 17:00 ,Αίθουσα 3,2d,269,14
12.05.2019, 17:50 ,Αίθουσα 1,IMAX 3D,294,15
12.05.2019, 19:00 ,Αίθουσα 2,2d,275,7
12.05.2019, 19:50 ,Αίθουσα 7,2d,241,0
12.05.2019, 20:45 ,Αίθουσα 3,2d,283,0
12.05.2019, 21:20 ,Αίθουσα 1,IMAX 3D,309,0
12.05.2019, 22:00 ,Αίθουσα 4,2d,185,0
12.05.2019, 22:45 ,Αίθουσα 2,2d,282,0
13.05.2019, 17:00 ,Αίθουσα 3,2d,283,0
13.05.2019, 17:50 ,Αίθουσα 1,IMAX 3D,309,0
13.05.2019, 19:00 ,Αίθουσα 2,2d,279,3
13.05.2019, 19:50 ,Αίθουσα 7,2d,241,0
13.05.2019, 20:45 ,Αίθουσα 3,2d,283,0
13.05.2019, 21:20 ,Αίθουσα 1,IMAX 3D,307,2
13.05.2019, 22:00 ,Αίθουσα 4,2d,185,0
13.05.2019, 22:45 ,Αίθουσα 2,2d,282,0
14.05.2019, 17:00 ,Αίθουσα 3,2d,281,2
14.05.2019, 17:50 ,Αίθουσα 1,IMAX 3D,307,2
14.05.2019, 19:00 ,Αίθουσα 2,2d,278,4
14.05.2019, 19:50 ,Αίθουσα 7,2d,238,3
14.05.2019, 20:45 ,Αίθουσα 3,2d,279,4
14.05.2019, 21:20 ,Αίθουσα 1,IMAX 3D,300,9
14.05.2019, 22:00 ,Αίθουσα 4,2d,183,2
14.05.2019, 22:45 ,Αίθουσα 2,2d,278,4
15.05.2019, 17:00 ,Αίθουσα 3,2d,283,0
15.05.2019, 17:50 ,Αίθουσα 1,IMAX 3D,309,0
15.05.2019, 19:00 ,Αίθουσα 2,2d,282,0
15.05.2019, 19:50 ,Αίθουσα 7,2d,241,0
15.05.2019, 20:45 ,Αίθουσα 3,2d,283,0
15.05.2019, 21:20 ,Αίθουσα 1,IMAX 3D,300,9
15.05.2019, 22:00 ,Αίθουσα 4,2d,185,0
15.05.2019, 22:45 ,Αίθουσα 2,2d,282,0
