Date,hour,screening_hall,screening_mode,free,sold
30.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,9,300
30.04.2019, 19:00 ,Αίθουσα 2,2d,8,274
30.04.2019, 20:00 ,Αίθουσα 3,2d,35,248
30.04.2019, 20:45 ,Αίθουσα 7,2d,48,193
30.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,32,277
30.04.2019, 22:00 ,Αίθουσα 6,2d,71,127
30.04.2019, 22:30 ,Αίθουσα 2,2d,134,148
30.04.2019, 23:00 ,Αίθουσα 4,2d,121,64
30.04.2019, 23:30 ,Αίθουσα 3,2d,237,46
01.05.2019, 12:00 ,Αίθουσα 3,2d,275,8
01.05.2019, 13:00 ,Αίθουσα 7,2d,236,5
01.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,289,20
01.05.2019, 15:00 ,Αίθουσα 2,2d,276,6
01.05.2019, 16:00 ,Αίθουσα 3,2d,281,2
01.05.2019, 17:00 ,Αίθουσα 7,2d,221,20
01.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,241,68
01.05.2019, 19:00 ,Αίθουσα 2,2d,264,18
01.05.2019, 20:00 ,Αίθουσα 3,2d,261,22
01.05.2019, 20:45 ,Αίθουσα 7,2d,235,6
01.05.2019, 21:30 ,Αίθουσα 1,IMAX 3D,214,95
01.05.2019, 22:00 ,Αίθουσα 6,2d,190,8
01.05.2019, 22:30 ,Αίθουσα 2,2d,270,12
01.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
01.05.2019, 23:30 ,Αίθουσα 3,2d,279,4
02.05.2019, 12:00 ,Αίθουσα 3,2d,283,0
02.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
02.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,309,0
02.05.2019, 15:00 ,Αίθουσα 2,2d,282,0
02.05.2019, 16:00 ,Αίθουσα 3,2d,283,0
02.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
02.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,300,9
02.05.2019, 19:00 ,Αίθουσα 2,2d,282,0
02.05.2019, 20:00 ,Αίθουσα 3,2d,283,0
02.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
02.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,301,8
02.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
02.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
02.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
02.05.2019, 23:30 ,Αίθουσα 3,2d,283,0
03.05.2019, 12:00 ,Αίθουσα 3,2d,283,0
03.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
03.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,309,0
03.05.2019, 15:00 ,Αίθουσα 2,2d,282,0
03.05.2019, 16:00 ,Αίθουσα 3,2d,283,0
03.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
03.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,309,0
