Date,hour,screening_hall,screening_mode,free,sold
29.04.2019, 12:00 ,Αίθουσα 3,2d,250,33
29.04.2019, 13:00 ,Αίθουσα 7,2d,227,14
29.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,248,61
29.04.2019, 15:00 ,Αίθουσα 2,2d,254,28
29.04.2019, 16:00 ,Αίθουσα 3,2d,272,11
29.04.2019, 17:00 ,Αίθουσα 7,2d,213,28
29.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,143,166
29.04.2019, 19:00 ,Αίθουσα 2,2d,173,109
29.04.2019, 20:00 ,Αίθουσα 3,2d,232,51
29.04.2019, 20:45 ,Αίθουσα 7,2d,191,50
29.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,137,172
29.04.2019, 22:00 ,Αίθουσα 6,2d,181,17
29.04.2019, 22:30 ,Αίθουσα 2,2d,257,25
29.04.2019, 23:00 ,Αίθουσα 4,2d,177,8
29.04.2019, 23:30 ,Αίθουσα 3,2d,259,24
30.04.2019, 12:00 ,Αίθουσα 3,2d,260,23
30.04.2019, 13:00 ,Αίθουσα 7,2d,239,2
30.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,258,51
30.04.2019, 15:00 ,Αίθουσα 2,2d,266,16
30.04.2019, 16:00 ,Αίθουσα 3,2d,273,10
30.04.2019, 17:00 ,Αίθουσα 7,2d,205,36
30.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,153,156
30.04.2019, 19:00 ,Αίθουσα 2,2d,178,104
30.04.2019, 20:00 ,Αίθουσα 3,2d,189,94
30.04.2019, 20:45 ,Αίθουσα 7,2d,144,97
30.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,105,204
30.04.2019, 22:00 ,Αίθουσα 6,2d,145,53
30.04.2019, 22:30 ,Αίθουσα 2,2d,231,51
30.04.2019, 23:00 ,Αίθουσα 4,2d,169,16
30.04.2019, 23:30 ,Αίθουσα 3,2d,271,12
01.05.2019, 12:00 ,Αίθουσα 3,2d,280,3
01.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
01.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,301,8
01.05.2019, 15:00 ,Αίθουσα 2,2d,280,2
01.05.2019, 16:00 ,Αίθουσα 3,2d,283,0
01.05.2019, 17:00 ,Αίθουσα 7,2d,234,7
01.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,264,45
01.05.2019, 19:00 ,Αίθουσα 2,2d,275,7
01.05.2019, 20:00 ,Αίθουσα 3,2d,271,12
01.05.2019, 20:45 ,Αίθουσα 7,2d,239,2
01.05.2019, 21:30 ,Αίθουσα 1,IMAX 3D,248,61
01.05.2019, 22:00 ,Αίθουσα 6,2d,196,2
01.05.2019, 22:30 ,Αίθουσα 2,2d,266,16
01.05.2019, 23:00 ,Αίθουσα 4,2d,183,2
01.05.2019, 23:30 ,Αίθουσα 3,2d,279,4
