Date,hour,screening_hall,screening_mode,free,sold
28.04.2019, 17:00 ,Αίθουσα 7,2d,232,9
28.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,265,44
28.04.2019, 19:00 ,Αίθουσα 2,2d,262,20
28.04.2019, 20:00 ,Αίθουσα 3,2d,246,37
28.04.2019, 20:45 ,Αίθουσα 7,2d,206,35
28.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,191,118
28.04.2019, 22:00 ,Αίθουσα 6,2d,187,11
28.04.2019, 22:30 ,Αίθουσα 2,2d,270,12
28.04.2019, 23:00 ,Αίθουσα 4,2d,183,2
28.04.2019, 23:30 ,Αίθουσα 3,2d,271,12
29.04.2019, 12:00 ,Αίθουσα 3,2d,281,2
29.04.2019, 13:00 ,Αίθουσα 7,2d,237,4
29.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,293,16
29.04.2019, 15:00 ,Αίθουσα 2,2d,271,11
29.04.2019, 16:00 ,Αίθουσα 3,2d,278,5
29.04.2019, 17:00 ,Αίθουσα 7,2d,231,10
29.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,206,103
29.04.2019, 19:00 ,Αίθουσα 2,2d,231,51
29.04.2019, 20:00 ,Αίθουσα 3,2d,249,34
29.04.2019, 20:45 ,Αίθουσα 7,2d,214,27
29.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,168,141
29.04.2019, 22:00 ,Αίθουσα 6,2d,195,3
29.04.2019, 22:30 ,Αίθουσα 2,2d,263,19
29.04.2019, 23:00 ,Αίθουσα 4,2d,177,8
29.04.2019, 23:30 ,Αίθουσα 3,2d,262,21
30.04.2019, 12:00 ,Αίθουσα 3,2d,267,16
30.04.2019, 13:00 ,Αίθουσα 7,2d,241,0
30.04.2019, 14:00 ,Αίθουσα 1,IMAX 3D,278,31
30.04.2019, 15:00 ,Αίθουσα 2,2d,269,13
30.04.2019, 16:00 ,Αίθουσα 3,2d,273,10
30.04.2019, 17:00 ,Αίθουσα 7,2d,215,26
30.04.2019, 18:00 ,Αίθουσα 1,IMAX 3D,182,127
30.04.2019, 19:00 ,Αίθουσα 2,2d,194,88
30.04.2019, 20:00 ,Αίθουσα 3,2d,221,62
30.04.2019, 20:45 ,Αίθουσα 7,2d,172,69
30.04.2019, 21:30 ,Αίθουσα 1,IMAX 3D,120,189
30.04.2019, 22:00 ,Αίθουσα 6,2d,162,36
30.04.2019, 22:30 ,Αίθουσα 2,2d,237,45
30.04.2019, 23:00 ,Αίθουσα 4,2d,175,10
30.04.2019, 23:30 ,Αίθουσα 3,2d,272,11
01.05.2019, 12:00 ,Αίθουσα 3,2d,280,3
01.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
01.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,303,6
01.05.2019, 15:00 ,Αίθουσα 2,2d,282,0
01.05.2019, 16:00 ,Αίθουσα 3,2d,283,0
01.05.2019, 17:00 ,Αίθουσα 7,2d,234,7
01.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,281,28
01.05.2019, 19:00 ,Αίθουσα 2,2d,278,4
01.05.2019, 20:00 ,Αίθουσα 3,2d,273,10
01.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
01.05.2019, 21:30 ,Αίθουσα 1,IMAX 3D,266,43
01.05.2019, 22:00 ,Αίθουσα 6,2d,196,2
01.05.2019, 22:30 ,Αίθουσα 2,2d,268,14
01.05.2019, 23:00 ,Αίθουσα 4,2d,183,2
01.05.2019, 23:30 ,Αίθουσα 3,2d,283,0
